order_id,customer_id,product_id,revenue,quantity,unit_price,status,payment_method,region,order_date
1000,52.0,217,124.55,3,52.18,Complete,unknown,east,2023-02-26
1002,72.0,209,286.86,1,65.15,Return,creditcard,west,2023-11-26
1003,61.0,221,259.37,3,47.06,Complete,creditcard,east,2023-04-08
1004,21.0,225,246.81,1,33.59,Return,giftcard,west,2023-05-24
1005,75.0,202,6178.25,5,14.43,Cancelled,giftcard,west,2023-05-05
1006,75.0,207,199.08,5,43.44,Unknown,creditcard,midwest,2023-06-16
1007,24.0,9999,132.71,2,32.2,Complete,paypal,south,2023-03-27
1008,3.0,223,205.69,4,88.97,Complete,paypal,midwest,2023-03-17
1009,22.0,217,149.21,1,40.24,Complete,giftcard,south,2023-12-10
1010,53.0,214,273.13,1,39.83,Cancelled,paypal,south,2023-10-21
1011,2.0,221,188.97,3,27.18,Complete,paypal,south,2023-02-28
1014,2.0,226,230.97,5,76.07,Cancelled,giftcard,south,2023-07-11
1015,64.0,209,157.72,1,52.53,Complete,paypal,west,2023-08-31
1016,60.0,201,138.33,2,49.87,Complete,creditcard,east,2023-11-15
1017,21.0,225,218.28,4,47.98,Complete,debitcard,midwest,2023-02-18
1018,33.0,216,218.37,1,61.79,Complete,debitcard,south,2023-02-01
1019,76.0,207,161.98,5,43.22,Cancelled,giftcard,west,2023-10-04
1020,58.0,200,124.9,2,60.01,Return,debitcard,midwest,2023-01-20
1021,22.0,208,217.4,1,74.21,Complete,giftcard,midwest,2023-06-03
1022,49.0,210,91.39,3,56.9,Return,giftcard,east,2023-03-09
1023,59.0,221,94.44,4,46.25,Cancelled,giftcard,midwest,2023-08-02
1024,42.0,215,146.12,1,35.7,Complete,debitcard,east,2023-05-23
1025,60.0,206,183.99,2,45.87,Cancelled,giftcard,south,2023-08-20
1026,15.0,228,223.32,3,58.45,Complete,paypal,east,2023-08-01
1027,62.0,209,310.65,2,27.01,Complete,creditcard,west,2023-03-20
1028,62.0,222,264.32,2,62.47,Cancelled,creditcard,east,2023-08-02
1029,47.0,225,188.0,3,53.11,Complete,giftcard,west,2023-04-26
1030,62.0,202,198.57,2,47.76,Complete,creditcard,east,2023-04-02
1031,51.0,217,124.81,3,40.11,Complete,debitcard,midwest,2023-09-27
1032,55.0,224,198.61,1,42.85,Complete,unknown,south,2023-06-17
1033,64.0,223,178.35,3,58.96,Complete,paypal,west,2023-02-27
1034,3.0,212,224.2,3,48.08,Complete,debitcard,east,2023-10-11
1035,51.0,227,137.96,4,42.48,Complete,creditcard,east,2023-01-26
1037,21.0,206,314.96,3,57.62,Complete,creditcard,midwest,2023-09-05
1040,18.0,212,251.76,5,87.53,Unknown,giftcard,west,2023-04-07
1041,4.0,219,169.91,1,57.04,Complete,creditcard,midwest,2023-02-11
1042,60.0,9999,216.81,1,24.51,Cancelled,creditcard,west,2023-08-15
1044,9.0,213,207.33,3,22.54,Complete,debitcard,south,2023-06-16
1045,53.0,215,401.14,2,97.51,Return,giftcard,midwest,2023-10-06
1046,2.0,213,201.84,4,83.54,Cancelled,giftcard,west,2023-03-30
1047,60.0,211,393.14,2,40.01,Return,creditcard,east,2023-06-27
1048,71.0,218,308.84,5,16.31,Cancelled,creditcard,south,2023-07-16
1049,44.0,222,271.95,1,36.82,Complete,debitcard,midwest,2023-11-03
1050,8.0,214,361.49,1,47.29,Complete,debitcard,west,2023-09-24
1051,47.0,227,142.45,4,23.57,Complete,debitcard,midwest,2023-09-25
1052,35.0,201,265.42,1,48.96,Complete,giftcard,east,2023-03-15
1053,78.0,201,213.75,1,47.19,Complete,giftcard,south,2023-01-08
1054,36.0,222,364.24,4,51.88,Complete,giftcard,midwest,2023-10-24
1058,6.0,225,40.71,1,50.68,Complete,paypal,midwest,2023-02-24
1061,54.0,221,211.28,3,50.54,Complete,paypal,east,2023-04-14
1062,63.0,225,225.63,3,77.98,Complete,debitcard,south,2023-07-29
1063,18.0,225,340.71,5,62.31,Return,giftcard,south,2023-02-11
1066,74.0,219,132.62,5,52.36,Complete,creditcard,south,2023-09-20
1067,62.0,209,236.89,3,75.97,Complete,giftcard,west,2023-12-02
1070,15.0,221,288.46,3,46.01,Return,creditcard,south,2023-10-10
1071,72.0,210,164.81,2,45.97,Complete,paypal,east,2023-04-24
1072,78.0,227,71.51,2,32.47,Complete,creditcard,midwest,2023-12-29
1073,62.0,204,428.89,4,38.86,Return,giftcard,west,2023-02-09
1074,40.0,200,183.89,1,36.08,Complete,giftcard,midwest,2023-08-08
1075,53.0,207,292.84,2,58.92,Complete,creditcard,east,2023-05-09
1076,24.0,220,80.42,3,65.6,Complete,creditcard,east,2023-01-08
1077,26.0,227,155.05,4,48.58,Complete,creditcard,east,2023-04-11
1078,60.0,211,200.39,1,53.44,Complete,giftcard,west,2023-06-25
1080,29.0,204,197.43,3,37.84,Cancelled,giftcard,midwest,2023-04-11
1081,15.0,206,246.71,2,62.93,Complete,creditcard,midwest,2023-09-17
1082,45.0,203,119.93,2,59.79,Complete,paypal,south,2023-09-03
1083,65.0,205,189.32,3,21.61,Cancelled,paypal,midwest,2023-10-02
1084,71.0,212,209.02,2,45.75,Cancelled,creditcard,west,2023-02-01
1086,1.0,229,253.37,1,44.14,Complete,paypal,east,2023-01-12
1089,11.0,222,295.83,5,45.05,Return,giftcard,south,2023-05-09
1093,33.0,212,208.68,3,39.44,Complete,creditcard,midwest,2023-06-07
1094,5.0,217,288.45,5,41.67,Complete,giftcard,west,2023-09-26
1096,28.0,209,354.56,5,57.36,Complete,paypal,midwest,2023-09-17
1097,7.0,229,331.65,3,40.94,Complete,debitcard,south,2023-04-12
1098,73.0,218,181.33,3,46.49,Complete,giftcard,south,2023-08-11
1099,72.0,216,272.87,1,77.7,Complete,paypal,south,2023-02-28
1101,34.0,218,302.65,2,78.66,Complete,paypal,midwest,2023-05-08
1103,48.0,225,251.45,3,75.88,Complete,paypal,west,2023-11-21
1104,23.0,222,450.48,4,40.56,Return,paypal,west,2023-01-25
1105,62.0,225,68.09,4,47.47,Return,giftcard,west,2023-05-11
1106,37.0,204,111.26,5,43.26,Complete,paypal,east,2023-12-19
1107,44.0,225,47.06,5,66.9,Complete,paypal,midwest,2023-07-15
1108,35.0,220,179.79,2,41.48,Complete,debitcard,midwest,2023-10-08
1109,65.0,229,253.82,2,60.97,Cancelled,creditcard,midwest,2023-06-03
1110,47.0,222,399.22,1,60.17,Cancelled,creditcard,south,2023-05-13
1111,78.0,208,205.56,5,49.28,Complete,debitcard,south,2023-08-15
1112,3.0,211,322.15,3,69.48,Return,debitcard,south,2023-07-08
1113,1.0,220,96.49,5,51.62,Cancelled,giftcard,midwest,2023-09-22
1114,5.0,200,97.73,3,62.51,Complete,giftcard,south,2023-05-14
1115,14.0,225,195.83,4,42.58,Complete,giftcard,east,2023-07-30
1116,27.0,225,228.8,5,39.15,Complete,debitcard,midwest,2023-03-01
1117,9.0,200,197.55,4,60.97,Complete,debitcard,south,2023-12-30
1118,79.0,214,44.94,2,56.46,Cancelled,paypal,northeast,2023-12-30
1119,15.0,201,193.32,2,53.65,Complete,giftcard,west,2023-08-01
1120,42.0,229,102.16,1,44.84,Complete,giftcard,east,2023-08-04
1121,77.0,221,250.23,5,73.24,Complete,giftcard,midwest,2023-08-14
1122,51.0,215,227.49,4,33.25,Complete,creditcard,west,2023-05-11
1123,63.0,224,105.8,3,32.43,Cancelled,creditcard,west,2023-03-17
1124,52.0,207,161.46,2,64.13,Return,giftcard,midwest,2023-10-13
1125,4.0,212,95.48,2,62.9,Complete,giftcard,west,2023-10-04
1126,23.0,220,195.3,3,55.31,Complete,giftcard,east,2023-06-05
1127,15.0,200,271.64,4,45.68,Complete,creditcard,east,2023-09-05
1128,43.0,215,126.07,4,57.54,Complete,creditcard,south,2023-08-06
1129,29.0,228,237.8,5,75.81,Complete,debitcard,west,2023-07-09
1131,13.0,204,140.53,1,25.15,Complete,debitcard,west,2023-06-29
1132,32.0,221,270.51,2,43.72,Complete,paypal,west,2023-02-03
1133,71.0,228,122.36,5,42.77,Complete,creditcard,south,2023-02-10
1134,59.0,222,158.48,4,74.4,Complete,giftcard,east,2023-11-03
1135,28.0,202,110.16,3,12.78,Cancelled,debitcard,west,2023-12-04
1137,42.0,225,202.64,2,46.15,Complete,debitcard,west,2023-03-16
1138,45.0,215,147.52,4,74.57,Cancelled,creditcard,south,2023-10-06
1139,62.0,218,216.05,1,72.52,Complete,creditcard,west,2023-06-25
1140,57.0,204,191.58,2,55.48,Complete,creditcard,south,2023-05-30
1141,6.0,221,212.56,3,26.3,Return,debitcard,west,2023-09-30
1142,28.0,224,365.42,1,41.39,Cancelled,paypal,south,2023-11-21
1143,28.0,228,256.81,2,43.03,Complete,debitcard,east,2023-04-18
1144,44.0,213,160.21,3,30.1,Complete,paypal,south,2023-05-19
1145,30.0,227,156.81,1,67.32,Complete,debitcard,east,2023-12-16
1146,62.0,204,179.37,1,28.2,Complete,debitcard,east,2023-09-28
1147,75.0,214,27.36,2,79.48,Complete,creditcard,south,2023-12-13
1148,62.0,216,86.36,5,79.44,Complete,giftcard,west,2023-10-16
1149,1.0,229,302.52,1,44.22,Complete,giftcard,west,2023-07-31
1150,27.0,213,323.37,1,54.93,Complete,paypal,midwest,2023-09-29
1151,62.0,229,181.32,3,48.92,Cancelled,giftcard,west,2023-03-07
1152,77.0,219,243.24,4,63.53,Complete,debitcard,midwest,2023-09-05
1153,3.0,204,223.34,2,69.12,Complete,creditcard,west,2023-06-05
1154,70.0,211,430.92,2,53.87,Complete,creditcard,west,2023-02-16
1155,72.0,9999,283.97,5,57.04,Complete,creditcard,east,2023-07-20
1156,27.0,225,190.41,5,40.69,Complete,giftcard,midwest,2023-05-28
1158,62.0,215,79.52,5,52.44,Complete,giftcard,midwest,2023-01-01
1159,37.0,220,215.26,3,36.32,Complete,giftcard,east,2023-09-04
1160,51.0,206,143.27,2,49.79,Complete,giftcard,east,2023-12-09
1162,24.0,200,89.38,2,40.86,Complete,debitcard,east,2023-07-10
1163,79.0,229,204.51,4,32.8,Complete,paypal,south,2023-03-08
1164,59.0,229,326.54,1,50.94,Return,debitcard,south,2023-01-04
1165,32.0,204,266.12,2,38.29,Complete,paypal,east,2023-10-30
1166,52.0,222,199.4,1,42.93,Complete,creditcard,south,2023-10-21
1167,62.0,225,289.15,5,66.13,Complete,giftcard,west,2023-05-23
1169,52.0,221,135.4,2,35.32,Return,paypal,west,2023-01-21
1171,39.0,203,319.39,5,51.99,Cancelled,creditcard,east,2023-11-09
1172,2.0,201,122.21,2,75.53,Complete,giftcard,west,2023-04-27
1173,3.0,219,185.72,5,70.75,Complete,paypal,east,2023-10-29
1174,56.0,209,3358.2500000000005,3,26.99,Complete,debitcard,east,2023-05-22
1175,59.0,225,266.82,1,62.92,Cancelled,giftcard,midwest,2023-02-08
1176,2.0,218,269.46,3,68.98,Complete,debitcard,midwest,2023-12-21
1177,2.0,225,343.21,2,58.39,Complete,creditcard,midwest,2023-09-09
1178,54.0,200,95.11,4,44.97,Return,debitcard,west,2023-11-29
1179,-1.0,223,242.22,5,86.2,Complete,debitcard,south,2023-07-26
1180,19.0,204,151.2,1,59.77,Complete,giftcard,midwest,2023-07-29
1181,2.0,212,163.47,5,79.65,Complete,debitcard,midwest,2023-04-25
1183,44.0,215,135.2,5,56.96,Complete,creditcard,midwest,2023-05-14
1185,70.0,215,137.68,2,49.64,Cancelled,giftcard,east,2023-08-07
1187,68.0,201,196.23,4,31.78,Complete,debitcard,midwest,2023-12-20
1188,55.0,216,182.08,2,59.75,Complete,creditcard,east,2023-02-15
1191,17.0,219,256.65,3,82.45,Cancelled,paypal,midwest,2023-04-10
